name,stream_url,homepage,country,language,tags,codec,bitrate
242 Radio,https://uk7.internet-radio.com/proxy/242radio?mp=/stream&1740815149872,https://www.242radio.com/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,128
242 Radio,https://uk7.internet-radio.com/proxy/242radio?mp=/stream&1705137844878,https://www.242radio.com/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,128
246 Bajan Vibes Radio,http://s32.myradiostream.com:6006/live,https://246bajanvibesradio.com/,The United Kingdom Of Great Britain And Northern Ireland,english,"call-in,caribbean music,discussion,hits,oldies,soca,world music",MP3,320
4 To The Floor - Infinite Mixtapes | NTS,https://stream-mixtape-geo.ntslive.net/mixtape5,https://www.nts.live/infinite-mixtapes/4-to-the-floor,The United Kingdom Of Great Britain And Northern Ireland,,"house,techno",MP3,0
45 Radio,https://stream1.themediasite.co.uk:7009/stream,https://www.my45radio.co.uk/,The United Kingdom Of Great Britain And Northern Ireland,english,"60s,70s,80s,90s",MP3,128
4Tune FM,https://c30.radioboss.fm:18274/stream,https://4tunefm.co.uk/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,128
5 Rivers radio,https://onlineradiobox.com/json/uk/5rivers/play?platform=web,https://onlineradiobox.com/json/uk/5rivers/play?platform=web,The United Kingdom Of Great Britain And Northern Ireland,hindi,music,MP3,320
60 North Radio,https://cdn1.zetcast.net/stream,https://60north.radio/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,320
60 NORTH RADIO - FLAC,http://r5.zetcast.net/flac,https://60north.radio/,The United Kingdom Of Great Britain And Northern Ireland,,,OGG,1411
60s Swinging Radio,http://s2.xrad.io:8058/listen.pls,https://www.radio60s.co.uk/,The United Kingdom Of Great Britain And Northern Ireland,,"classic hits 60s 70a 80s,israeli pop oldies,sixties",MP3,96
80s 90s,http://radioradio.ddns.net:8000/8090,,The United Kingdom Of Great Britain And Northern Ireland,,pop,AAC+,128
80s Mixtape,https://audio.allabout.radio/listen/80s_mixtape/stream.mp3,https://mixtape.radio/,The United Kingdom Of Great Britain And Northern Ireland,,"80's,pop music",MP3,0
80s Music Station (MP3),http://stream.zeno.fm/1fm38n8f74zuv,http://www.80smusicstation.com/,The United Kingdom Of Great Britain And Northern Ireland,english,"1980's,1980s,80's,80s",MP3,0
80s Rhythm,https://stream.mybroadbandradio.com/80srhythmhq/,https://www.80srhythm.com/,The United Kingdom Of Great Britain And Northern Ireland,,"80s,dance,new wave,pop,rock",MP3,128
80s Soundtracks Radio,http://uk5.internet-radio.com:8256/;,https://tunein.com/radio/80s-Soundtracks-Radio-s264062/,The United Kingdom Of Great Britain And Northern Ireland,english,"80s,soundtracks",MP3,192
90.1 Hope FM,http://stream-hfm.tune-in.co.uk:19020/;,https://hopefm.com/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,128
90s 2000s & More,https://lunar.citrus3.com:8162/stream,https://lunar.citrus3.com:2020/public/90s2000sandmore,The United Kingdom Of Great Britain And Northern Ireland,english,"00s,10s,80s,90s,hits,pop",AAC,128
90s Hiphop,https://strm112.1.fm/spanishtophits_mobile_mp3?aw_0_req.gdpr=true,https://www.1.fm/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,192
95.6 B Radio,https://stream.aiir.com/t4k624qg11kuv?_=802765,https://www.bradio.co.uk/,The United Kingdom Of Great Britain And Northern Ireland,,,AAC,0
95.6 BRFM,https://mediacp.nkpa.co.uk/stream/Brfm/BrfmMP3,https://brfm.net/,The United Kingdom Of Great Britain And Northern Ireland,,,AAC,128
96.3 Seahaven FM,https://stream1.hippynet.co.uk:8107/stream?_=526570,https://www.seahavenfm.radio/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,170
96.3 Seahaven FM,https://stream1.hippynet.co.uk:8107/stream?_=63771,https://www.seahavenfm.radio/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,170
97 Country FM,https://vistaradio.streamb.live/SB00040?=&&___cb=491767877535127,https://www.myprincegeorgenow.com/on-air/countryfm/,The United Kingdom Of Great Britain And Northern Ireland,,,AAC+,57
Aah Classical Radio - Bach,http://hearme.fm:10001/stream,http://classical.aahradio.com/channel/bach/,The United Kingdom Of Great Britain And Northern Ireland,,classical,MP3,0
Aaja Radio | Channel 1,https://aaja.radiocult.fm/stream,https://aajamusic.com/radio,The United Kingdom Of Great Britain And Northern Ireland,,"music,variety,eclectic",MP3,192
Aaja Radio | Channel 2,https://aaja-2.radiocult.fm/stream,https://aajamusic.com/radio,The United Kingdom Of Great Britain And Northern Ireland,english,"music,variety,eclectic",MP3,192
Abbey104,http://streaming04.liveboxstream.uk:8051/;,https://www.abbey104.com/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,256
ABC Oldies Radio,https://carina.streamerr.co/stream/abcoldiesradio,https://abcoldies.com/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,320
Absolute 00s,https://edge-bauerall-01-gos2.sharp-stream.com/absolute00shigh.aac,https://planetradio.co.uk/absolute-radio-00s/,The United Kingdom Of Great Britain And Northern Ireland,english,00s,,0
Absolute 10s,https://edge-bauerall-01-gos2.sharp-stream.com/absolute10shigh.aac,https://planetradio.co.uk/absolute-radio-10s/,The United Kingdom Of Great Britain And Northern Ireland,english,10s,,0
Absolute 20s,https://edge-bauerall-01-gos2.sharp-stream.com/webcast3high.aac,https://planetradio.co.uk/absolute-radio-20s/,The United Kingdom Of Great Britain And Northern Ireland,english,20s,,0
Absolute 70s,https://edge-bauerall-01-gos2.sharp-stream.com/absolute70shigh.aac,https://planetradio.co.uk/absolute-radio-70s/,The United Kingdom Of Great Britain And Northern Ireland,english,70s,,0
Absolute 80's,https://edge-bauerall-01-gos2.sharp-stream.com/absolute80shigh.aac,http://planetradio.co.uk/,The United Kingdom Of Great Britain And Northern Ireland,,,,0
Absolute 90s,https://edge-bauerall-01-gos2.sharp-stream.com/absolute90shigh.aac,https://planetradio.co.uk/absolute-radio-90s/,The United Kingdom Of Great Britain And Northern Ireland,english,90s,,0
Absolute Classic Rock,https://edge-bauerall-01-gos2.sharp-stream.com/absoluteclassicrockhigh.aac,https://planetradio.co.uk/absolute-classic-rock/,The United Kingdom Of Great Britain And Northern Ireland,english,classic rock,,0
Absolute Radio,https://edge-bauerall-01-gos2.sharp-stream.com/absoluteradio.aac,https://hellorayo.co.uk/absolute-radio/,The United Kingdom Of Great Britain And Northern Ireland,,,,0
Absolute Radio Country,https://edge-bauerall-01-gos2.sharp-stream.com/absolutecountry.aac,https://planetradio.co.uk/absolute-radio-country/,The United Kingdom Of Great Britain And Northern Ireland,english,country,,0
absolute uk,http://edge-bauerall-03-gos2.sharp-stream.com/absoluteradiohigh.aac?aw_0_1st.skey=1713346269&aw_0_1st.playerid=BMUK_RPi,https://planetradio.co.uk/absolute-radio/,The United Kingdom Of Great Britain And Northern Ireland,english uk,rock,AAC+,128
Academy FM Folkestone,https://s2.xrad.io:9480/;stream/1,https://www.radiofolkestone.com/,The United Kingdom Of Great Britain And Northern Ireland,,,AAC+,48
Access Radio 64K,http://uk1.streamingpulse.com:7034/128kmp3,https://www.accessradio.biz/,The United Kingdom Of Great Britain And Northern Ireland,english,"music,pop,rock,top 40",MP3,128
Ace Cafe Radio,https://listen.radioking.com/radio/69079/stream/106852,https://acecafe.com/ace-cafe-radio/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,128
Ace Cafe Radio,https://www.radioking.com/play/ace-cafe,https://www.acecaferadio.com/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,128
Actual Radio,https://securestreams.autopo.st:1174/;,https://actualradio.com/,The United Kingdom Of Great Britain And Northern Ireland,english,"80s,classic hits,oldies",MP3,128
Air Gay Radio,https://ecmanager.pro-fhi.net:2655/stream,https://www.airgayradio.net/,The United Kingdom Of Great Britain And Northern Ireland,,,AAC,64
Air3 Radio,https://streams.radio.co/s7863dad8e/listen,https://www.air3radio.co.uk/,The United Kingdom Of Great Britain And Northern Ireland,,"student radio,variety",MP3,192
AJK Radio,https://solid41.streamupsolutions.com/proxy/wzbznkee/stream,https://ajkradio.net/,The United Kingdom Of Great Britain And Northern Ireland,english,eclectic,MP3,320
Alfred,https://stream2.hippynet.co.uk:8204/stream.m3u,https://thisisalfred.com/,The United Kingdom Of Great Britain And Northern Ireland,,community news,MP3,160
